ticker,cik,bolsa,sector,variables_descargadas
TDS,0001051512,NYSE,Telephone Communications (No Radiotelephone),32
MATX,0000003453,NYSE,Water Transportation,30
MIR,0001809987,NYSE,"Measuring & Controlling Devices, NEC",38
TFX,0000096943,NYSE,Surgical & Medical Instruments & Apparatus,32
CRSP,0001674416,Nasdaq,"Biological Products, (No Diagnostic Substances)",26
APGE,0001974640,Nasdaq,"Biological Products, (No Diagnostic Substances)",19
RUSHA,0001012019,Nasdaq,Retail-Auto Dealers & Gasoline Stations,31
RSI,0001793659,NYSE,Services-Miscellaneous Amusement & Recreation,26
CLF,0000764065,NYSE,Metal Mining,36
WAY,0001990354,Nasdaq,Services-Computer Integrated Systems Design,28
GLNG,0001207179,Nasdaq,Water Transportation,0
SEB,0000088121,NYSE,Wholesale-Farm Product Raw Materials,32
OPCH,0001014739,Nasdaq,Services-Home Health Care Services,33
KBR,0001357615,NYSE,Heavy Construction Other Than Bldg Const - Contractors,33
GHC,0000104889,NYSE,Services-Educational Services,32
KNF,0001955520,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),28
ACHR,0001824502,NYSE,Aircraft,27
LOPE,0001434588,Nasdaq,Services-Educational Services,30
DOCS,0001516513,NYSE,Services-Computer Programming Services,29
SRRK,0001727196,Nasdaq,"Biological Products, (No Diagnostic Substances)",23
UUUU,0001385849,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),29
BC,0000014930,NYSE,Engines & Turbines,33
GNTX,0000355811,Nasdaq,Motor Vehicle Parts & Accessories,35
FTDR,0001727263,Nasdaq,Services-To Dwellings & Other Buildings,28
PSMT,0001041803,Nasdaq,Retail-Variety Stores,31
ALKS,0001520262,Nasdaq,Pharmaceutical Preparations,30
ATMU,0001921963,NYSE,Motor Vehicle Parts & Accessories,31
FOUR,0001794669,NYSE,"Services-Business Services, NEC",34
XENE,0001582313,Nasdaq,Pharmaceutical Preparations,24
CHH,0001046311,NYSE,Hotels & Motels,31
OSIS,0001039065,Nasdaq,Semiconductors & Related Devices,36
BDC,0000913142,NYSE,Drawing & Insulating of  Nonferrous Wire,34
HCC,0001691303,NYSE,Silver Ores,30
MTH,0000833079,NYSE,Operative Builders,24
FOLD,0001178879,Nasdaq,Pharmaceutical Preparations,35
M,0000794367,NYSE,Retail-Department Stores,31
ALK,0000766421,NYSE,"Air Transportation, Scheduled",29
OLED,0001005284,Nasdaq,Electronic Components & Accessories,32
REYN,0001786431,Nasdaq,"Plastics, Foil & Coated Paper Bags",33
ELF,0001600033,NYSE,"Perfumes, Cosmetics & Other Toilet Preparations",34
SLGN,0000849869,NYSE,Metal Cans,31
ZETA,0001851003,NYSE,Services-Prepackaged Software,24
BMI,0000009092,NYSE,Totalizing Fluid Meters & Counting Devices,32
TNL,0001361658,NYSE,Hotels & Motels,34
